06001;Acedera;Acedera (Badajoz);Q371036
06002;Aceuchal;Aceuchal;Q616785
06003;Ahillones;Ahillones;Q389434
06004;Alange;Alange;Q996175
06005;Albuera, La;La Albuera;Q144268
06006;Alburquerque;Alburquerque;Q493370
06007;Alconchel;Alconchel;Q1074211
06008;Alconera;Alconera;Q1368859
06009;Aljucén;Aljucén;Q941641
06010;Almendral;Almendral;Q580391
06011;Almendralejo;Almendralejo;Q490638
06012;Arroyo de San Serván;Arroyo de San Serván;Q1113385
06013;Atalaya;Atalaya (Badajoz);Q1620361
06014;Azuaga;Azuaga;Q1368982
06015;Badajoz;Badajoz;Q15679
06016;Barcarrota;Barcarrota;Q534483
06017;Baterno;Baterno;Q1372568
06018;Benquerencia de la Serena;Benquerencia de la Serena;Q1606077
06019;Berlanga;Berlanga (Badajoz);Q1610680
06020;Bienvenida;Bienvenida (Badajoz);Q535145
06021;Bodonal de la Sierra;Bodonal de la Sierra;Q1066654
06022;Burguillos del Cerro;Burguillos del Cerro;Q1100437
06023;Cabeza del Buey;Cabeza del Buey;Q1100433
06024;Cabeza la Vaca;Cabeza la Vaca;Q1372523
06025;Calamonte;Calamonte;Q1020436
06026;Calera de León;Calera de León;Q1074219
06027;Calzadilla de los Barros;Calzadilla de los Barros;Q1157668
06028;Campanario;Campanario (Badajoz);Q1605982
06029;Campillo de Llerena;Campillo de Llerena;Q1372581
06030;Capilla;Capilla (Badajoz);Q1639065
06031;Carmonita;Carmonita;Q1372506
06032;Carrascalejo, El;El Carrascalejo;Q971549
06033;Casas de Don Pedro;Casas de Don Pedro;Q1100425
06034;Casas de Reina;Casas de Reina;Q1157670
06035;Castilblanco;Castilblanco;Q780375
06036;Castuera;Castuera;Q515016
06042;Cheles;Cheles;Q844205
06037;Codosera, La;La Codosera;Q743708
06038;Cordobilla de Lácara;Cordobilla de Lácara;Q1404680
06039;Coronada, La;La Coronada;Q1447677
06040;Corte de Peleas;Corte de Peleas;Q1372541
06041;Cristina;Cristina (Badajoz);Q1777641
06043;Don Álvaro;Don Álvaro;Q1387108
06044;Don Benito;Don Benito;Q636120
06045;Entrín Bajo;Entrín Bajo;Q1605952
06046;Esparragalejo;Esparragalejo;Q1446351
06047;Esparragosa de la Serena;Esparragosa de la Serena;Q1372885
06048;Esparragosa de Lares;Esparragosa de Lares;Q1407179
06049;Feria;Feria (Badajoz);Q1447714
06050;Fregenal de la Sierra;Fregenal de la Sierra;Q1613587
06051;Fuenlabrada de los Montes;Fuenlabrada de los Montes;Q936003
06052;Fuente de Cantos;Fuente de Cantos;Q1093159
06053;Fuente del Arco;Fuente del Arco;Q1605901
06054;Fuente del Maestre;Fuente del Maestre;Q1407463
06055;Fuentes de León;Fuentes de León;Q1098694
06056;Garbayuela;Garbayuela;Q1447660
06057;Garlitos;Garlitos;Q1446316
06058;Garrovilla, La;La Garrovilla;Q587063
06059;Granja de Torrehermosa;Granja de Torrehermosa;Q1372757
06903;Guadiana del Caudillo;Guadiana del Caudillo;Q3822025
06060;Guareña;Guareña (Badajoz);Q1098716
06061;Haba, La;La Haba;Q1387033
06062;Helechosa de los Montes;Helechosa de los Montes;Q1446273
06063;Herrera del Duque;Herrera del Duque;Q1407162
06064;Higuera de la Serena;Higuera de la Serena;Q1446402
06065;Higuera de Llerena;Higuera de Llerena;Q1447635
06066;Higuera de Vargas;Higuera de Vargas;Q929743
06067;Higuera la Real;Higuera la Real;Q953685
06068;Hinojosa del Valle;Hinojosa del Valle;Q1446338
06069;Hornachos;Hornachos;Q1446441
06070;Jerez de los Caballeros;Jerez de los Caballeros;Q1153945
06071;Lapa, La;La Lapa;Q617435
06073;Llera;Llera (Badajoz);Q1645899
06074;Llerena;Llerena;Q686184
06072;Lobón;Lobón;Q1098700
06075;Magacela;Magacela;Q1615390
06076;Maguilla;Maguilla;Q1372788
06077;Malcocinado;Malcocinado;Q1446416
06078;Malpartida de la Serena;Malpartida de la Serena;Q1615324
06079;Manchita;Manchita;Q1446428
06080;Medellín;Medellín (España);Q668384
06081;Medina de las Torres;Medina de las Torres;Q1406716
06082;Mengabril;Mengabril;Q1455235
06083;Mérida;Mérida (España);Q14323
06084;Mirandilla;Mirandilla;Q527689
06085;Monesterio;Monesterio;Q733580
06086;Montemolín;Montemolín;Q1372801
06087;Monterrubio de la Serena;Monterrubio de la Serena;Q587935
06088;Montijo;Montijo (Badajoz);Q1387091
06089;Morera, La;La Morera;Q662761
06090;Nava de Santiago, La;La Nava de Santiago;Q970535
06091;Navalvillar de Pela;Navalvillar de Pela;Q649045
06092;Nogales;Nogales (Badajoz);Q1616230
06093;Oliva de la Frontera;Oliva de la Frontera;Q947183
06094;Oliva de Mérida;Oliva de Mérida;Q941458
06095;Olivenza;Olivenza;Q488052
06096;Orellana de la Sierra;Orellana de la Sierra;Q1615456
06097;Orellana la Vieja;Orellana la Vieja;Q1446374
06098;Palomas;Palomas (Badajoz);Q549949
06099;Parra, La;La Parra (Badajoz);Q1446328
06100;Peñalsordo;Peñalsordo;Q1455254
06101;Peraleda del Zaucejo;Peraleda del Zaucejo;Q1446260
06102;Puebla de Alcocer;Puebla de Alcocer;Q1605886
06103;Puebla de la Calzada;Puebla de la Calzada;Q1387062
06104;Puebla de la Reina;Puebla de la Reina;Q1446389
06107;Puebla de Obando;Puebla de Obando;Q1372742
06108;Puebla de Sancho Pérez;Puebla de Sancho Pérez;Q678613
06105;Puebla del Maestre;Puebla del Maestre;Q1446303
06106;Puebla del Prior;Puebla del Prior;Q1455217
